Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	AntesLongitude	AntesLatitude	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria	Classe	longitude	latitude
SNDQ	BA0133	Fazenda Soya	SÃO DESIDÉRIO	Bahia			045°34'10.0W"	12°55'16.0S"	777,0	VFR	Sem Operação	09/27	1200,0000	20,00	5700 Kg /   0.50 MPa	Terra							16/09/2024	PA2014-2170	https://pergamum.anac.gov.br/arquivos/PA2014-2170.pdf	Privado	-45.5694444444400	-12.9211111111111
SSRL	MS0327	Fazenda Rancho Alegre	RIO VERDE DE MATO GROSSO	Mato Grosso do Sul			055°14'47.0W"	18°47'40.0S"	163,0	VFR	Sem Operação	05/23	550,0000	20,00	5000 Kg /   0.50 MPa	Grama							24/05/2028	PA2018-1511	https://pergamum.anac.gov.br/arquivos/PA2018-1511.pdf	Privado	-55.2463888888900	-18.7944444444444
	BA0346	Campo Formoso	CAMPO FORMOSO	Bahia			040°29'15.0W"	10°29'41.0S"	855,0	VFR	Sem Operação	02/20	1200,0000	23,00	5700 Kg /   0.50 MPa	Asfalto							29/12/2030	PA2020-3564	https://pergamum.anac.gov.br/arquivos/PA2020-3564.pdf	Privado	-40.4875000000000	-10.4947222222222
SWLA	MT0362	Fazenda Amália	JUÍNA	Mato Grosso			058°38'02.0W"	11°52'56.0S"	367,0	VFR	Sem Operação	07/25	1000,0000	23,00	4200 Kg /   0.50 MPa	Cascalho							30/12/2021	PA2011-2619	https://pergamum.anac.gov.br/arquivos/PA2011-2619.pdf	Privado	-58.6338888888900	-11.8822222222222
SJKA	MT0189	Aerocampo	CAMPO NOVO DO PARECIS	Mato Grosso			057°53'58.0W"	13°38'07.0S"	548,0	VFR	Sem Operação	18/36	1685,0000	25,00	5700 Kg /   0.50 MPa	Cascalho										Privado	-57.8994444444400	-13.6352777777778
SJYW	MT0234	Fazenda Santa Terezinha	SANTA TEREZINHA	Mato Grosso			050°56'58.0W"	10°19'09.0S"	229,0			11/29	1300,0000	19,00	5700 Kg /   0.50 MPa	Cascalho							20/05/2031	PA2021-5044	https://pergamum.anac.gov.br/arquivos/PA2021-5044.pdf	Privado	-50.9494444444400	-10.3191666666667
SJWI	MS0188	Fazenda Flor	CAMPO GRANDE	Mato Grosso do Sul			053°45'19.0W"	21°30'03.0S"	413,0	VFR	Sem Operação	08/26	1000,0000	20,00	4000 Kg /   0.50 MPa	Terra							10/05/2023	PA2019-1365	https://pergamum.anac.gov.br/arquivos/PA2019-1365.pdf	Privado	-53.7552777777800	-21.5008333333333
SWCI	GO0203	Agropecuária Rio da Prata	POSSE	Goiás			046°32'53.7W"	14°13'30.2S"	534,0	VFR	Sem Operação	16/34	895,0000	18,00	13/F/B/Y/T	Asfalto							28/08/2029	PA2019-2572	https://pergamum.anac.gov.br/arquivos/PA2019-2572.pdf	Privado	-46.5482500000000	-14.2250555555556
SWRI	MT0388	Fazenda Roncador I	QUERÊNCIA	Mato Grosso			052°16'21.0W"	12°09'26.0S"	303,0	VFR	Sem Operação	09/27	1260,0000	23,00	10/F/B/X/U	Asfalto							23/09/2030	PA2020-2183	https://pergamum.anac.gov.br/arquivos/PA2020-2183.pdf	Privado	-52.2725000000000	-12.1572222222222
	MT0497	Fazenda Maringá III	VILA BELA DA SANTÍSSIMA TRINDADE	Mato Grosso			060°07'30.0W"	14°26'50.0S"	204,0	VFR	Sem Operação	18/36	1100,0000	22,00	5600 Kg /   0.50 MPa	Asfalto							23/03/2031	PA2021-4461	https://pergamum.anac.gov.br/arquivos/PA2021-4461.pdf	Privado	-60.1250000000000	-14.4472222222222
SDQA	MS0044	Fazenda Aldebaran	ANGÉLICA	Mato Grosso do Sul			053°56'26.0W"	21°55'26.0S"	298,0	VFR	Sem Operação	18/36	730,0000	18,00	5000 Kg /   0.50 MPa	Grama							19/04/2023	PA2016-2094	https://pergamum.anac.gov.br/arquivos/PA2016-2094.pdf	Privado	-53.9405555555600	-21.9238888888889
SWKH	PA0143	Pista Aldeia Rio Vermelho (Krénhêdjã)	OURILÂNDIA DO NORTE	Pará			051°37'10.0W"	07°39'40.0S"	241,0	VFR	Sem Operação	03/21	799,0000	18,00	4000 Kg /   0.50 MPa	Terra							22/11/2027	PA2017-3771	https://pergamum.anac.gov.br/arquivos/PA2017-3771.pdf	Privado	-51.6194444444400	-7.66111111111111
SDTW	MT0064	Fazenda Miragem	SAPEZAL	Mato Grosso			058°31'32.0W"	13°36'33.0S"	575,0	VFR	Sem Operação	03/21	800,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							18/08/2025	PA2015-2200	https://pergamum.anac.gov.br/arquivos/PA2015-2200.pdf	Privado	-58.5255555555600	-13.6091666666667
SWON	SC0041	Clube de Aviação Céu Azul	ARAQUARI	Santa Catarina			048°41'46.0W"	26°33'41.0S"	5,0	VFR	Sem Operação	16/34	1199,0000	23,00	13/F/D/Y/T	Asfalto										Privado	-48.6961111111100	-26.5613888888889
SIVJ	MG0112	Cirrus Sociedade Aerodesportiva	JABOTICATUBAS	Minas Gerais			043°54'02.0W"	19°27'03.0S"	717,0	VFR	Sem Operação	13/31	500,0000	40,00	2400 Kg /   0.50 MPa	Cascalho							19/05/2024	PA2014-1142	https://pergamum.anac.gov.br/arquivos/PA2014-1142.pdf	Privado	-43.9005555555600	-19.4508333333333
SILT	SP0186	Fazenda Três Irmãos	SANTA FÉ DO SUL	São Paulo			050°58'06.0W"	20°13'40.0S"	445,0	VFR	Sem Operação	07/25	1000,0000	20,00	5700 Kg /   0.50 MPa	Terra							18/07/2023	PA2013-1849	https://pergamum.anac.gov.br/arquivos/PA2013-1849.pdf	Privado	-50.9683333333300	-20.2277777777778
SNOH	MT0501	Fazenda Tundavala	BARRA DO GARÇAS	Mato Grosso			052°02'10.0W"	14°51'25.6S"	266,0	VFR	Sem Operação	02/20	1000,0000	23,00	5000 Kg /   0.50 MPa	Terra							02/05/2029	PA2019-1239	https://pergamum.anac.gov.br/arquivos/PA2019-1239.pdf	Privado	-52.0361111111100	-14.8571111111111
SDVX	MT0069	Fazenda Santa Amália	ALTA FLORESTA	Mato Grosso			056°34'45.0W"	10°18'28.0S"	318,0	VFR	Sem Operação	02/20	1250,0000	18,00	8/F/B/Y/U	Asfalto							02/03/2025	PA2015-0494	https://pergamum.anac.gov.br/arquivos/PA2015-0494.pdf	Privado	-56.5791666666700	-10.3077777777778
SSJB	MS0288	Fazenda Vaca Branca	NAVIRAÍ	Mato Grosso do Sul			053°49'15.0W"	23°04'02.0S"	326,0	VFR	Sem Operação	18/36	480,0000	20,00	5600 Kg /   0.50 MPa	Grama							05/04/2022	PA2016-1688	https://pergamum.anac.gov.br/arquivos/PA2016-1688.pdf	Privado	-53.8208333333300	-23.0672222222222
SSCX	RS0093	Fazenda Coxilha	COXILHA	Rio Grande do Sul			052°19'00.0W"	28°07'00.0S"	650,0	VFR	Sem Operação	17/35	1000,0000	30,00	3000 Kg /   0.50 MPa	Terra							06/05/2025	PA2015-1056	https://pergamum.anac.gov.br/arquivos/PA2015-1056.pdf	Privado	-52.3166666666700	-28.1166666666667
SNOZ	MA0041	Coronel Alexandre Raposo	PAÇO DO LUMIAR	Maranhão			044°07'27.0W"	02°31'25.0S"	47,0	VFR	Sem Operação	09/27	1000,0000	30,00	5700 Kg /   0.50 MPa	Asfalto							01/10/2030	PA2020-2268	https://pergamum.anac.gov.br/arquivos/PA2020-2268.pdf	Privado	-44.1241666666700	-2.52361111111111
SWGT	GO0125	Fazenda Nova	JANDAIA	Goiás			050°12'31.0W"	17°10'20.0S"	582,0	VFR	Sem Operação	01/19	1200,0000	19,00	5700 Kg /   0.50 MPa	Terra							14/10/2024	PA2014-2398	https://pergamum.anac.gov.br/arquivos/PA2014-2398.pdf	Privado	-50.2086111111100	-17.1722222222222
SSQD	MT0310	Fazenda Panamby	QUERÊNCIA	Mato Grosso			052°10'39.0W"	13°02'49.0S"	380,0	VFR	Sem Operação	12/30	1300,0000	23,00	9/F/B/X/T	Asfalto							16/12/2024	PA2014-2993	https://pergamum.anac.gov.br/arquivos/PA2014-2993.pdf	Privado	-52.1775000000000	-13.0469444444444
SWFJ	MS0373	Fazenda Estrela	ANTÔNIO JOÃO	Mato Grosso do Sul			055°47'49.0W"	22°12'37.0S"	658,0	VFR	Sem Operação	07/25	600,0000	18,00	5000 Kg /   0.50 MPa	Grama							23/12/2025	PA2015-3384	https://pergamum.anac.gov.br/arquivos/PA2015-3384.pdf	Privado	-55.7969444444400	-22.2102777777778
SJZZ	TO0059	AGROPECUÁRIA ZÉ REIS	PALMEIRÓPOLIS	Tocantins			048°24'57.0W"	13°01'08.0S"	455,0	VFR	VFR	03/21	1530,0000	20,00	5700 Kg /   0.50 MPa	Asfalto										Privado	-48.4158333333300	-13.0188888888889
SSHU	MS0284	Fazenda Centenário	AQUIDAUANA	Mato Grosso do Sul			056°02'43.0W"	19°27'29.0S"	130,0	VFR	Sem Operação	12/30	700,0000	20,00	2500 Kg /   0.50 MPa	Grama							19/12/2022	PA2012-2766	https://pergamum.anac.gov.br/arquivos/PA2012-2766.pdf	Privado	-56.0452777777800	-19.4580555555556
SBQM	MS0526	FAZENDA SÃO MIGUEL	JATEÍ	Mato Grosso do Sul			053°54'30.0W"	22°45'55.0S"	370,0	VFR	Sem Operação	13/31	1100,0000	23,00	5600 Kg /   0.50 MPa	Grama							14/09/2030	PA2020-2173	https://pergamum.anac.gov.br/arquivos/PA2020-2173.pdf	Privado	-53.9083333333300	-22.7652777777778
SWLS	PR0157	Fazenda São Luís	PALOTINA	Paraná			053°52'27.1W"	24°11'55.7S"	306,0	VFR	Sem Operação	13/31	1000,0000	15,00	4000 Kg /   0.50 MPa	Grama							11/12/2028	PA2018-3794	https://pergamum.anac.gov.br/arquivos/PA2018-3794.pdf	Privado	-53.8741944444400	-24.1988055555556
SDEJ	SP0093	Fazenda Guará do Pinhal	ITAPETININGA	São Paulo			048°04'22.0W"	23°39'57.0S"	620,0	VFR	Sem Operação	07/25	580,0000	18,00	5600 Kg /   0.50 MPa	Asfalto							23/09/2024	PA2014-2248	https://pergamum.anac.gov.br/arquivos/PA2014-2248.pdf	Privado	-48.0727777777800	-23.6658333333333
SJYR	RR0100	Cajú	UIRAMUTÃ	Roraima			060°30'55.0W"	04°42'21.0N"	242,0	VFR	Sem Operação	12/30	600,0000	20,00	4000 Kg /   0.50 MPa	Grama							28/12/2022	PA2012-2896	https://pergamum.anac.gov.br/arquivos/PA2012-2896.pdf	Privado	-60.5152777777800	4.70583333333333
SSQR	MS0324	Fazenda Primavera	RIBAS DO RIO PARDO	Mato Grosso do Sul			053°35'53.0W"	21°23'10.0S"	361,0	VFR	Sem Operação	09/27	1000,0000	20,00	5000 Kg /   0.50 MPa	Terra							20/08/2024	PA2018-0983	https://pergamum.anac.gov.br/arquivos/PA2018-0983.pdf	Privado	-53.5980555555600	-21.3861111111111
SJGB	MG0121	Fazenda São Gabriel	CURVELO	Minas Gerais			044°16'19.0W"	18°57'53.0S"	770,0	VFR	Sem Operação	18/36	1000,0000	23,00	4000 Kg /   0.50 MPa	Terra							16/10/2022	PA2012-2160	https://pergamum.anac.gov.br/arquivos/PA2012-2160.pdf	Privado	-44.2719444444400	-18.9647222222222
SSTL	BA0257	Fazenda São Sebastião	SÃO DESIDÉRIO	Bahia			046°15'33.0W"	13°04'06.0S"	981,0	VFR	Sem Operação	03/21	820,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							26/06/2029	PA2019-1783	https://pergamum.anac.gov.br/arquivos/PA2019-1783.pdf	Privado	-46.2591666666700	-13.0683333333333
SWRC	MT0386	Fazenda Sevilha	RIBEIRÃO CASCALHEIRA	Mato Grosso			051°55'50.0W"	12°38'25.0S"	328,0	VFR	Sem Operação	05/23	850,0000	20,00	3000 Kg /   0.50 MPa	Terra							14/10/2024	PA2014-2400	https://pergamum.anac.gov.br/arquivos/PA2014-2400.pdf	Privado	-51.9305555555600	-12.6402777777778
SIWV	RJ0024	Ten. Brig. Ar Waldir de Vasconcelos	RIO DE JANEIRO	Rio de Janeiro			043°22'37.0W"	22°59'01.0S"	3,0	VFR	Sem Operação	03/21	402,0000	18,00	5000 Kg /   0.50 MPa	Grama							23/11/2025	PA2015-3111	https://pergamum.anac.gov.br/arquivos/PA2015-3111.pdf	Privado	-43.3769444444400	-22.9836111111111
SWYA	MT0434	Fazenda Nossa Senhora Aparecida	JACIARA	Mato Grosso			054°57'08.0W"	16°02'50.0S"	324,0	VFR	Sem Operação	01/19	450,0000	18,00	5500 Kg /   0.50 MPa	Cascalho							08/11/2020	PA2018-3605	https://pergamum.anac.gov.br/arquivos/PA2018-3605.pdf	Privado	-54.9522222222200	-16.0472222222222
SSTM	AM0041	Fazenda Santo Antônio	MANICORÉ	Amazonas			061°41'02.0W"	07°47'35.0S"	75,0	VFR	Sem Operação	18/36	1000,0000	20,00	5700 Kg /   0.50 MPa	Cascalho							08/12/2027	PA2017-3964	https://pergamum.anac.gov.br/arquivos/PA2017-3964.pdf	Privado	-61.6838888888900	-7.79305555555556
SSFG	MS0266	Fazenda Guanabara	CORUMBÁ	Mato Grosso do Sul			055°45'04.0W"	18°13'52.0S"	152,0	VFR	Sem Operação	12/30	1200,0000	30,00	5000 Kg /   0.50 MPa	Grama							05/02/2025	PA2015-0261	https://pergamum.anac.gov.br/arquivos/PA2015-0261.pdf	Privado	-55.7511111111100	-18.2311111111111
SJEW	MS0502	Usina Santa Helena	NOVA ANDRADINA	Mato Grosso do Sul			053°24'59.0W"	21°58'34.0S"	389,0	VFR	Sem Operação	12/30	1050,0000	20,00	5700 Kg /   0.50 MPa	Grama										Privado	-53.4163888888900	-21.9761111111111
SJYC	MS0194	Fazenda Yvy-Pita	JUTI	Mato Grosso do Sul			054°39'50.0W"	22°53'24.0S"	305,0	VFR	Sem Operação	04/22	800,0000	30,00	5700 Kg /   0.50 MPa	Cascalho							25/01/2022	PA2012-0152	https://pergamum.anac.gov.br/arquivos/PA2012-0152.pdf	Privado	-54.6638888888900	-22.89
SIDN	MS0069	Fazenda Figueiral	CORUMBÁ	Mato Grosso do Sul			055°24'50.0W"	18°23'48.0S"	165,0	VFR	Sem Operação	18/36	550,0000	20,00	5000 Kg /   0.50 MPa	Grama							05/09/2028	PA2018-2686	https://pergamum.anac.gov.br/arquivos/PA2018-2686.pdf	Privado	-55.4138888888900	-18.3966666666667
SJFX	MS0165	Fazenda Cypi	CORUMBÁ	Mato Grosso do Sul			056°54'15.0W"	19°20'06.0S"	93,0	VFR	Sem Operação	17/35	550,0000	20,00	5000 Kg /   0.50 MPa	Grama							19/07/2028	PA2018-2057	https://pergamum.anac.gov.br/arquivos/PA2018-2057.pdf	Privado	-56.9041666666700	-19.335
SDKQ	SP0118	Fazenda São João	GUARACI	São Paulo			049°04'00.0W"	20°13'00.0S"	510,0	VFR	Sem Operação	11/29	740,0000	20,00	2500 Kg /   0.50 MPa	Grama							04/10/2022	PA2012-1996	https://pergamum.anac.gov.br/arquivos/PA2012-1996.pdf	Privado	-49.0666666666700	-20.2166666666667
SNFH	RO0022	Usina César Filho	CHUPINGUAIA	Rondônia			061°10'35.7W"	12°15'42.8S"	300,0	VFR	Sem Operação	01/19	767,0000	22,00	5700 Kg /   0.50 MPa	Cascalho							08/10/2030	PA2020-2436	https://pergamum.anac.gov.br/arquivos/PA2020-2436.pdf	Privado	-61.1765833333300	-12.2618888888889
SWVW	MG0205	Furnaspark Resort	FORMIGA	Minas Gerais			045°36'17.0W"	20°32'10.0S"	789,0	VFR	Sem Operação	06/24	730,0000	14,00	11/F/A/W/T	Asfalto							21/09/2022	PA2012-1879	https://pergamum.anac.gov.br/arquivos/PA2012-1879.pdf	Privado	-45.6047222222200	-20.5361111111111
SDBD	MT0031	Fazenda Sodema	VERA	Mato Grosso			055°32'13.0W"	12°17'43.0S"	360,0	VFR	Sem Operação	07/25	800,0000	20,00	5700 Kg /   0.50 MPa	Terra							18/08/2025	PA2015-2199	https://pergamum.anac.gov.br/arquivos/PA2015-2199.pdf	Privado	-55.5369444444400	-12.2952777777778
